"","Gras","PCDF","InDF","PJW","PIPO","Salp","Mixd","Hdwd","CaCr","DeSc","MMsh","Sgbr","Shsp","D2WUI","D2Rd","RiverD","DEM","Slop","P90Ao","PPAo","PWAo","PAo","PP2GAo","T90Mn","T90Ao","TPAo","TWAo","TAo","TP2GAo","WMx","WMn","H90Ao","HAo","HPAo","HWAo","LOshp","Calacre_ha","FSH","FSH_PRO"
"3111",0.005461593,0,0,0,0,0,0,0.593023256,0.320119803,0,0,0,0,17813.00079,17661.88634,0.143178835,598.0219967,19.12747099,-0.839880599909359,-0.00954420406833972,-0.984597544264949,-1.13320648670197,-0.133771446600459,27.424145846897,4.71259227328801,-0.290213715796028,7.50978742861298,14.343319806186,-0.129025253594989,4.25001525878906,3.36166724291715,-4.73472027248807,-17.6521055915139,-0.36844532785852,-9.53208439646204,2,15036.11008,1755.63,0.116760917
"3112",0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,11163.73837,12014.15677,0.058177,63.43701191,0.031482306,0.736010799474186,-0.000603653100970519,-0.453421949950698,-0.529132664203644,-0.0763143673539162,22.468306816949,-3.07131453620099,-0.424697950774998,8.38855163723798,5.314289474487,0.0733584983680089,4.41345834732056,3.37149931192398,2.95495008892483,-10.108752155304,-1.24950437608108,-11.0927832609688,2,622.0795896,0,0
"3113",0,0,0,0.00154321,0,0,0.023148148,0.157407407,0.580246914,0.007716049,0,0,0,2892.73009,1854.152581,0.088942388,1240.95015,16.08487821,-0.905115951763259,0.015150039316782,-0.815573887108198,-0.955469846725464,-0.124745920300484,28.879475572374,9.27090165880003,-1.86250321381999,6.32631094938802,8.58892228868302,-1.19859310224899,3.41115570068359,2.91940887769063,-6.42339589860704,-13.8696713447571,1.70465814989377,-4.48986280042362,2,2038.318655,21.24,0.010420353
"3114",0,0.027472527,0,0,0.010989011,0,0.760989011,0.010989011,0.093406593,0,0,0,0,538.8084686,556.9270258,0.141758054,769.0151756,22.26696644,-2.0542883919345,0.464277832141889,-1.5621865109291,-2.62927579879761,-0.445044302278095,30.139846801758,9.79953002929699,-1.280001135433,8.21071579877099,11.370710372925,0.319151074278977,3.20065832138062,2.41143649816513,-9.39124228159586,-14.5691142082214,4.49084056280797,-8.03158032037074,1,1370.969096,251.82,0.183680289
"3115",0.009090909,0,0,0,0.009090909,0,0.063636364,0.836363636,0,0,0,0,0,3737.548611,5115.397088,0.104112532,542.4724657,19.70416589,-5.27851104736328,0.70883175906013,-3.78231623593499,-5.10488517085711,-0.663648461594301,29.850680541992,9.67664070129399,-0.79174389558699,5.76803241056598,3.438506444295,0.0667405097310052,4.18866300582886,3.0515078107516,-15.4216517130534,-13.9425075848897,5.54856735428953,-3.43840163985109,1,515.2496601,56.7,0.110043741
"3116",0,0,0,0.133116883,0,0,0,0.003246753,0,0.00974026,0,0.834415584,0,20481.0636,13880.80016,0.083352248,1797.296263,13.90470111,0.00172889298862877,0.039851132171606,-0.428055164081598,-0.761228512315189,-0.185586364635455,15.651520114475,1.75653968387201,-0.710090113620993,8.244985150356,14.311483551474,0.343880921406992,4.60446119308472,3.39757655648624,2.9930866877238,-16.2629278968362,2.56838162740071,-8.79591051737468,1,1146.329244,42.75,0.037292951
"3117",0,0,0,0,0,0,0,0,0,0,0,0.993333333,0,28084.76268,2024.811343,0.089556993,1527.022097,5.842871325,0.110862397816446,-0.00970125120449689,-0.373528420145995,-0.807250544428825,-0.136718396462646,19.637879774306,2.84188978407099,-0.69282321057301,8.84811421313299,15.505577087402,0.143501643262027,3.7640266418457,2.89406687021255,-2.79707409540812,-16.4390217065811,-1.53713436064377,-13.1735517495598,1,601.5596032,0,0
"3118",0.04957265,0,0.169230769,0.051282051,0.562393162,0,0.027350427,0.01025641,0,0,0.04957265,0.006837607,0.01025641,9312.766838,14357.74809,0.143641457,2345.448711,13.71647296,-0.951884031295776,-0.410308836721907,-0.00350534799052227,-0.917346020042896,-0.263622191606783,10.740030585395,-4.87288922203902,0.525109471837993,8.69631022409698,-8.42226734161397,-0.371764849992985,5.43505907058716,3.59059486687183,-2.6433826552497,-6.49136211872101,-1.821012864705,-3.95788610994426,2,1812.238804,169.56,0.093563828
"3119",0,0,0,0.003460208,0,0,0,0,0,0,0,0.993079585,0,3498.342235,2465.03453,0.178084297,1899.851134,3.068150198,-0.574945109751489,0.0470895032867107,0.0124676685317668,0.447616597016652,-0.204875331104191,28.570723809136,13.446328438653,-0.927936616287013,9.73454659904502,11.489821751912,-1.08212518380401,3.53262662887573,2.83605295419693,-9.34688880708482,-7.98341210683187,1.85243164012635,-6.45119728138244,1,891.6294118,0,0
"3120",0,0,0.007936508,0.21031746,0.013888889,0,0.009920635,0,0.003968254,0.081349206,0.005952381,0.615079365,0,20768.3641,9002.812107,0.146303004,1971.458034,7.642140829,-0.230778357055452,-0.00858264440804524,0.0781245899745842,-0.844525218009949,-0.253525821017284,18.185954793294,2.86274216969798,-0.770681368759028,9.92652608210699,12.231736818949,-1.004730847926,5.91745471954346,3.61343548695246,-6.87952685885959,-16.5095207691193,1.38259521185183,-8.98874077142453,1,1669.498899,40.23,0.024097051
"3121",0,0,0,0,0,0,0,0,0,0,0.004347826,0.97826087,0,21712.89868,11057.10805,0.18060101,2078.738286,4.194700756,-0.519267038504283,0.0151887738626767,-0.0419034159261417,-1.04118084907532,-0.0560379493859858,22.240651787652,9.00246209038602,-0.480884975857009,10.188785129123,17.306908501519,-0.932192085614986,3.34674715995789,2.43380183643765,-11.906329621209,-16.4313179651896,1.1282662971347,-9.17768386766022,2,1378.97909,0,0
"3122",0.4375,0,0.004464286,0.178571429,0,0,0,0,0,0.049107143,0,0.299107143,0,10721.92401,18881.00661,0.13350907,1913.68735,5.296610868,-0.79280758202076,0.24389066824726,0.0688144815903085,-0.0840960562229156,-0.214623639396593,27.417795477973,10.396177588569,-0.679022371379006,9.70354598799599,12.504957372492,-0.675018385345027,3.8075110912323,1.91048412539742,-12.749172422621,-5.44334963018244,0.982703579796684,-8.1327100859748,1,626.6695866,0,0
